,tsne-2d-one,tsne-2d-two
239,-12.460535,0.63758224
240,-14.909027,9.663448
241,27.408646,78.27119
242,95.89385,5.5396967
243,-100.65694,-60.33375
244,-25.654955,61.947517
245,60.721764,125.42221
246,79.240105,-69.96046
247,-42.75684,-19.002659
248,-4.3346925,138.85956
249,-4.3345385,138.86188
250,-26.11703,75.01884
251,70.89459,2.3848004
252,33.598866,-5.270106
253,11.04257,-115.4855
254,55.232563,65.1682
255,104.3843,41.895126
256,-52.20183,144.74167
257,81.02933,-19.421871
258,113.210945,86.44956
259,114.304016,54.87806
260,97.12075,-80.98604
261,78.11087,115.22688
262,28.651167,-80.205765
263,-54.447727,143.67415
264,72.7634,-114.12426
265,100.84841,-22.780935
266,86.06051,-0.5069762
267,-47.25104,-38.981506
268,85.88768,-4.071897
269,88.42248,-45.24383
270,88.885864,-0.29723096
271,46.388966,-56.008564
272,81.491714,12.981917
273,46.510612,71.76176
274,84.71728,-36.636257
275,45.482273,109.37291
276,86.192154,-0.8963069
277,76.59669,-15.107656
278,87.87487,3.9610808
279,77.94052,0.22505867
280,66.81477,-6.2467465
281,74.50168,-5.4176016
282,114.995636,-45.494865
283,65.05986,-7.194068
284,87.4743,-16.110714
285,103.7387,-25.274942
286,102.41187,-40.173042
287,45.57273,-90.63069
288,-48.048508,-94.17419
289,-36.192696,-67.3374
290,42.82898,-80.19291
291,77.26406,-19.454355
292,51.992992,55.59351
293,-153.67024,7.4242864
294,-32.00263,55.711845
295,-45.276432,-17.975758
296,-85.54086,-65.821846
297,59.041813,-69.4879
298,-98.05511,7.7349286
299,-89.61903,-33.638897
300,-73.60065,-90.53287
301,-101.89085,-3.8328378
302,-29.291807,-21.185322
303,-2.7088907,22.13844
304,105.19081,-20.674812
305,44.642105,-72.13608
306,91.41619,-52.840466
307,73.744446,-27.993753
308,-27.242798,-14.319921
309,69.37298,-61.24358
310,87.537155,-28.078133
311,-51.28235,-46.280144
312,96.30008,-51.540855
313,91.13078,-87.626305
314,-11.779669,-93.21862
315,-66.56551,6.153906
316,68.61016,11.508061
317,-25.774721,56.33252
318,115.78834,-43.89659
319,111.04792,-46.951004
320,16.473269,-37.62025
321,76.292145,42.200188
322,-85.9704,41.8778
323,70.131096,34.267982
324,136.50826,19.394602
325,-36.036175,-35.9979
326,-11.595885,-54.403683
327,135.92279,38.9277
